Date,Open,High,Low,Close,Volume
2005-09-27,19.8416,20.1715,18.0035,18.1920,2576944
2005-09-28,18.1920,19.3514,18.0978,19.3231,15409920
2005-09-29,19.2289,19.3985,18.9461,19.0498,2890617
2005-09-30,19.0969,19.8416,19.0215,19.8038,8373458
2005-10-03,19.7002,20.5014,19.7002,20.2657,2836193
2005-10-04,20.2092,21.2083,20.2092,20.8878,4742091
2005-10-05,20.8313,21.0292,20.5014,20.9255,2424397
2005-10-06,21.3026,21.6796,21.1141,21.2837,4327614
2005-10-07,20.9727,21.3026,20.5485,20.8784,2019839
2005-10-10,21.0009,21.0104,20.8313,20.9350,1444236
2005-10-11,20.9821,21.0198,20.5485,20.7182,2049866
2005-10-12,20.6428,20.7841,20.3977,20.5108,2447453
2005-10-13,20.4542,20.5485,20.1715,20.4637,1424397
2005-10-14,20.5956,21.1141,20.5956,20.9915,2380161
2005-10-17,20.8784,20.9444,20.5956,20.8124,1243968
2005-10-18,20.7936,21.0198,20.1243,20.2563,4867292
2005-10-19,20.1432,20.3600,19.6530,20.1526,3930295
2005-10-20,20.1243,20.2469,19.6530,19.8133,1718231
2005-10-21,19.8133,21.1329,19.8038,20.6993,2458445
2005-10-24,20.7464,21.0763,20.6899,21.0292,1364075
2005-10-25,20.9727,21.2460,20.4542,20.7370,1172386
2005-10-26,20.7370,21.1612,20.7276,21.0386,1456300
2005-10-27,20.9821,21.2649,20.9255,21.2649,941555
2005-10-28,21.2554,22.5279,21.0858,22.5279,4329491
2005-10-31,22.6222,23.8947,22.6222,23.2632,1893834
2005-11-01,23.2820,23.6402,23.2726,23.5836,2323861
2005-11-02,23.7816,26.4868,23.7533,25.9684,7694906
2005-11-03,26.0155,26.4868,26.0155,26.2700,2429223
2005-11-04,26.2040,27.3352,26.1758,27.1466,2446649
2005-11-07,27.3352,27.7405,26.7507,27.2692,1305362
2005-11-08,27.4294,27.9950,27.3352,27.7405,3739946
2005-11-09,27.7405,29.5031,27.7405,29.5031,3518231
2005-11-10,29.3617,32.0104,29.3617,30.9170,5224933
2005-11-11,31.1527,32.0010,31.1055,31.4354,3173995
2005-11-14,31.5768,32.5194,31.5297,31.8125,2839678
2005-11-15,31.8125,31.9350,30.9547,31.9350,2035389
2005-11-16,31.5862,31.9067,31.4826,31.6711,1454692
2005-11-17,31.4826,32.5665,31.3223,32.3497,2712869
2005-11-18,32.3780,32.3780,30.9736,31.1527,1420375
2005-11-21,30.8699,30.8699,29.4654,30.1535,1705898
2005-11-22,30.1535,30.8604,29.7859,30.6342,1131099
2005-11-23,30.3514,31.7465,30.3137,31.1432,1799732
2005-11-25,31.1149,31.2940,30.8416,30.9641,371314
2005-11-28,31.1527,31.9067,31.1055,31.4920,1690080
2005-11-29,31.3883,31.5768,30.7568,31.0113,1149062
2005-11-30,31.0113,31.8596,31.0113,31.6617,1850134
2005-12-01,32.0481,32.9341,32.0481,32.3120,996783
2005-12-02,32.4252,32.6608,32.2838,32.3120,1149062
2005-12-05,30.2383,30.7662,29.5785,30.4928,3014477
2005-12-06,30.2006,31.8125,30.2006,31.6899,2119571
2005-12-07,31.4826,32.2178,31.3883,32.0010,2101609
2005-12-08,32.0010,32.0293,31.6051,31.7276,1028686
2005-12-09,31.4920,32.1141,31.4354,31.9350,1098391
2005-12-12,31.8596,31.9633,31.7748,31.8219,1130027
2005-12-13,31.8219,31.8596,31.1527,31.3412,607775
2005-12-14,31.4826,31.7559,31.3412,31.6145,424665
2005-12-15,31.7088,31.9350,31.4354,31.6994,841555
2005-12-16,31.7465,33.4620,31.7465,33.1321,4415282
2005-12-19,33.1604,33.4149,32.8870,33.2264,1011796
2005-12-20,33.2264,33.4243,32.0670,33.2923,1513405
2005-12-21,33.3489,34.8759,33.3018,34.4140,1879893
2005-12-22,34.4989,34.9230,34.2632,34.7156,664343
2005-12-23,34.6214,35.8185,34.6214,35.5640,1321716
2005-12-27,35.8091,36.5726,35.0644,35.3095,1277212
2005-12-28,35.8185,35.9599,34.2632,35.3001,878820
2005-12-29,35.3001,35.7714,35.0550,35.2341,508847
2005-12-30,35.3943,35.4226,34.8005,35.0079,463271
2006-01-03,35.0644,36.0824,34.7345,35.3001,2716354
2006-01-04,35.5357,38.2692,35.5357,36.9496,5169973
2006-01-05,36.9307,37.4303,36.6762,37.4303,852279
2006-01-06,37.4303,37.4303,35.9504,36.7611,936193
2006-01-09,36.5726,36.6480,36.2898,36.3935,591957
2006-01-10,36.3935,36.4877,35.2529,35.6300,512869
2006-01-11,35.6300,35.6300,32.6608,32.8022,2612064
2006-01-12,31.1055,33.3206,31.0678,32.9813,5385791
2006-01-13,32.9907,33.3866,31.3977,32.0952,1968365
2006-01-17,31.6239,31.6239,27.9196,28.2777,6303485
2006-01-18,27.4294,29.3712,27.2220,29.2203,4755228
2006-01-19,29.0318,29.4466,27.6556,28.6454,2298123
2006-01-20,28.5417,28.5417,26.9581,27.5614,2114477
2006-01-23,27.7970,28.3249,27.4765,27.7310,1423056
2006-01-24,28.1835,29.6634,28.0421,29.2392,1739678
2006-01-25,29.3617,29.7011,28.9847,29.2203,2242091
2006-01-26,29.2675,29.4560,28.2777,28.5134,841019
2006-01-27,28.4663,28.4663,26.6753,27.2315,1390349
2006-01-30,27.0807,27.8819,27.0807,27.3352,2459249
2006-01-31,27.4954,28.6642,27.3446,27.6556,1315282
2006-02-01,27.4294,27.9196,26.7225,27.6933,2189812
2006-02-02,27.6933,28.4663,27.3352,28.2872,2056836
2006-02-03,28.2872,28.2872,27.5237,27.8536,1065952
2006-02-06,27.5237,27.9950,27.0147,27.5897,1476944
2006-02-07,27.6651,27.7593,26.9770,27.3352,1313137
2006-02-08,27.4294,28.9941,27.3446,28.2683,2331635
2006-02-09,28.2306,28.7302,27.8536,28.6077,1188740
2006-02-10,28.7490,28.7490,28.0327,28.2777,1082306
2006-02-13,29.2675,30.2572,28.7962,29.3806,2214477
2006-02-14,29.6916,31.0113,29.6068,30.9170,1792493
2006-02-15,30.6814,32.2366,30.4928,31.8125,2165684
2006-02-16,31.7276,31.9539,31.2940,31.4637,655228
2006-02-17,30.9170,31.4731,30.4740,31.2469,847185
2006-02-21,30.6342,31.7182,29.5031,30.6342,2071582
2006-02-22,31.6051,32.3309,31.3883,31.7088,1708311
2006-02-23,32.2366,33.0096,32.1141,32.6608,2483378
2006-02-24,32.0198,32.0293,31.2752,31.5957,1753351
2006-02-27,31.9539,32.1141,31.1998,31.4354,1443700
2006-02-28,31.3883,31.5297,30.7285,31.1904,1094370
2006-03-01,31.1904,32.1047,30.7285,30.9170,3081769
2006-03-02,30.9170,31.2940,30.7285,31.0113,1041823
2006-03-03,30.7756,30.7945,29.5220,30.0404,2401609
2006-03-06,30.0687,30.1629,29.5785,29.9838,1826542
2006-03-07,30.2572,30.9170,30.1629,30.5494,2190080
2006-03-08,30.5494,31.9444,30.2572,31.5391,1854960
2006-03-09,31.4826,31.4920,30.7285,30.9641,739678
2006-03-10,31.0584,31.6051,31.0395,31.3506,3012869
2006-03-13,31.3412,31.7653,30.8982,31.1527,1335925
2006-03-14,31.1998,32.5665,31.1998,32.1424,1444772
2006-03-15,32.3120,33.4620,32.2366,33.0567,2906434
2006-03-16,33.1792,33.3206,32.8022,33.1509,1595979
2006-03-17,33.1321,33.3960,32.8493,33.3960,1144504
2006-03-20,33.4149,35.2812,33.3960,34.8288,2654960
2006-03-21,35.7714,36.8271,34.5271,34.8570,4107239
2006-03-22,34.9419,37.6942,34.9419,37.3266,5746649
2006-03-23,37.3361,37.6094,36.3086,36.8648,5390885
2006-03-24,36.9496,37.2324,36.3463,36.4877,2274531
2006-03-27,36.8553,37.4869,36.8271,36.9213,3239410
2006-03-28,36.9307,36.9496,35.2812,35.4132,3512601
2006-03-29,35.4132,35.7714,34.6025,35.5451,2247721
2006-03-30,35.7714,36.0258,35.0644,35.3378,1736193
2006-03-31,35.5357,37.7225,35.4414,37.7037,5752011
2006-04-03,37.7037,37.7037,36.9873,37.3266,2773727
2006-04-04,37.7037,38.2692,37.0438,37.2135,2390885
2006-04-05,37.2324,37.4492,36.7328,37.2135,1252815
2006-04-06,37.3266,38.0147,36.8553,37.8451,4504021
2006-04-07,37.9864,38.4106,37.1852,37.3738,3709383
2006-04-10,37.3738,37.3738,35.2058,35.7431,3420375
2006-04-11,35.7714,36.1013,34.8759,35.3472,3175335
2006-04-12,35.3472,35.7902,34.6497,35.3472,2941555
2006-04-13,35.2906,36.8836,35.2341,36.4123,3568097
2006-04-17,36.1955,36.3840,34.4329,34.7816,5883646
2006-04-18,34.9701,35.4414,34.7251,34.9230,4802949
2006-04-19,35.1587,37.1852,35.0644,36.2332,5594638
2006-04-20,36.4312,37.3643,35.7242,35.8185,3097587
2006-04-21,36.0730,36.0730,34.1124,35.5640,4897855
2006-04-24,36.9967,39.8716,36.7988,39.4946,8402949
2006-04-25,39.5888,41.3798,38.6463,40.2769,6052815
2006-04-26,39.9659,40.7765,39.1835,40.5220,2991153
2006-04-27,40.5220,42.1338,40.1167,41.7568,3664075
2006-04-28,41.7568,41.8322,40.3429,40.7765,3130027
2006-05-01,40.7105,41.4740,40.7105,41.1724,2670509
2006-05-02,42.5109,44.2075,42.4166,42.7937,5336729
2006-05-03,43.5477,45.6026,43.1424,45.0559,5646113
2006-05-04,45.6214,46.3755,45.0087,45.2915,5637534
2006-05-05,45.2915,46.0362,45.1878,45.8005,1754155
2006-05-08,46.2812,46.9411,43.8117,44.5846,3686863
2006-05-09,45.4800,49.1373,45.2915,48.6660,8641287
2006-05-10,48.7603,49.1844,46.5169,47.2238,4527346
2006-05-11,46.4226,47.0259,45.2444,46.3001,3029223
2006-05-12,45.9513,47.1013,45.0559,45.2632,1738606
2006-05-15,46.0456,47.0824,45.9419,46.8939,3254692
2006-05-16,46.6583,46.7525,44.8014,45.1030,2024933
2006-05-17,44.7731,44.8202,43.1613,43.9530,2830563
2006-05-18,44.0662,44.8108,43.9719,44.2075,2274799
2006-05-19,44.6788,45.6968,44.1604,44.6788,4321716
2006-05-22,44.6788,44.7731,43.1330,44.3018,3854692
2006-05-23,44.3584,44.5375,42.5015,42.5957,2848525
2006-05-24,42.6994,42.7560,40.3052,41.3044,4654155
2006-05-25,41.7097,42.2093,40.9085,41.3798,1760858
2006-05-26,41.8039,44.0190,41.8039,43.7080,4821180
2006-05-30,43.3592,43.4723,41.3326,42.0490,2706971
2006-05-31,42.4166,44.5846,42.4166,44.0190,4916354
2006-06-01,43.0576,44.1604,42.9350,43.5949,5622788
2006-06-02,43.6043,44.1227,42.6523,43.2178,3268633
2006-06-05,42.8408,43.9153,41.5683,42.0207,3372654
2006-06-06,42.4355,43.6326,41.9925,43.6231,3842895
2006-06-07,43.8305,44.8956,43.3969,44.1981,4686595
2006-06-08,44.3018,44.5846,42.9822,44.4715,5468633
2006-06-09,44.4715,46.2812,44.4715,45.0747,2232708
2006-06-12,44.8674,44.8674,41.0027,41.7097,6684987
2006-06-13,41.6154,41.9642,38.6463,39.1647,11104290
2006-06-14,39.4003,41.6343,38.9196,40.0507,6829491
2006-06-15,40.4372,43.3215,40.4372,42.8691,4090885
2006-06-16,42.8785,44.9616,42.5109,42.6051,4643432
2006-06-19,42.9350,44.0662,42.9350,43.8022,3235657
2006-06-20,43.9719,44.9616,43.9248,44.7448,2634584
2006-06-21,44.7260,46.3755,44.3018,46.1304,4573458
2006-06-22,45.3858,46.7148,45.2444,46.6866,3468633
2006-06-23,46.5640,47.9496,46.2624,47.7611,4512601
2006-06-26,47.7234,47.7234,46.3849,46.7902,2042895
2006-06-27,46.6583,46.6583,44.1510,45.2821,2978820
2006-06-28,45.5743,46.0267,44.0756,44.5846,2088472
2006-06-29,45.0559,45.8100,44.2358,45.3481,3616890
2006-06-30,45.6214,47.9779,44.8956,47.6386,7632976
2006-07-03,47.7234,49.2410,47.4501,49.1090,2666220
2006-07-05,48.9205,50.8999,48.5435,50.4286,6572118
2006-07-06,50.4286,52.4552,50.1553,52.4458,9023861
2006-07-07,51.8425,52.8794,51.0036,51.6634,3526810
2006-07-10,51.8425,53.1716,51.6540,52.6437,3776408
2006-07-11,50.8999,50.9094,48.6377,50.3815,9505898
2006-07-12,50.2401,50.2401,48.9017,49.5332,2568097
2006-07-13,48.0722,48.1193,45.4518,45.7345,7345845
2006-07-14,45.7157,45.7157,42.8125,44.4903,6042091
2006-07-17,44.5375,45.9985,43.6985,44.8391,4090617
2006-07-18,44.8391,46.2812,44.0756,45.9985,3300536
2006-07-19,47.0824,49.0430,46.8562,48.3078,3447453
2006-07-20,48.2607,48.7603,46.8468,47.3181,2583378
2006-07-21,47.3181,47.3181,45.4046,45.9702,3725469
2006-07-24,47.0353,48.2324,46.8091,47.1767,3698123
2006-07-25,47.1296,48.5717,46.4321,48.0156,2293298
2006-07-26,48.0156,48.4492,46.8845,48.1947,2154155
2006-07-27,48.1947,48.5340,44.7731,45.2350,7929759
2006-07-28,45.2444,45.8288,44.3489,45.4423,5282306
2006-07-31,45.0559,45.0747,42.1810,43.0670,8389544
2006-08-01,42.9822,43.3215,40.8990,41.0404,5592493
2006-08-02,40.6728,41.8605,40.2864,41.3609,3946381
2006-08-03,41.2855,44.2547,41.1253,43.8871,4102681
2006-08-04,44.0662,44.3301,41.5306,42.3695,4095442
2006-08-07,40.6068,41.5777,40.4278,40.5974,3487131
2006-08-08,40.5974,40.7011,38.9290,39.5417,3696515
2006-08-09,39.4946,39.4946,37.2701,38.4389,8300268
