Date,Open,High,Low,Close,Volume
2016-01-05,0.62,0.62,0.61,0.62,134470
2016-01-06,0.62,0.62,0.60,0.61,145778
2016-01-07,0.60,0.62,0.59,0.60,263579
2016-01-08,0.60,0.62,0.59,0.60,164689
2016-01-11,0.60,0.62,0.59,0.62,174039
2016-01-12,0.62,0.62,0.59,0.60,174489
2016-01-13,0.60,0.62,0.59,0.61,331114
2016-01-14,0.60,0.61,0.59,0.60,193241
2016-01-15,0.60,0.60,0.56,0.56,578771
2016-01-19,0.56,0.59,0.56,0.59,416367
2016-01-20,0.59,0.59,0.54,0.58,509047
2016-01-21,0.58,0.59,0.56,0.59,318384
2016-01-22,0.59,0.61,0.59,0.60,291531
2016-01-25,0.60,0.61,0.58,0.58,72169
2016-01-26,0.58,0.59,0.56,0.58,287065
2016-01-27,0.58,0.59,0.57,0.58,341950
2016-01-28,0.58,0.60,0.58,0.59,362387
2016-01-29,0.60,0.61,0.58,0.61,200182
2016-02-01,0.60,0.60,0.57,0.59,267728
2016-02-02,0.58,0.60,0.58,0.59,464303
2016-02-03,0.60,0.60,0.58,0.60,206356
2016-02-04,0.59,0.61,0.59,0.60,123641
2016-02-05,0.61,0.61,0.60,0.61,254511
2016-02-08,0.60,0.60,0.57,0.58,705784
2016-02-09,0.58,0.60,0.57,0.57,119250
2016-02-10,0.59,0.59,0.56,0.56,154311
2016-02-11,0.56,0.56,0.54,0.55,390363
2016-02-12,0.55,0.55,0.52,0.52,622190
2016-02-16,0.53,0.56,0.53,0.56,166360
2016-02-17,0.54,0.57,0.54,0.56,396447
2016-02-18,0.56,0.56,0.55,0.55,27646
2016-02-19,0.55,0.56,0.55,0.55,114621
2016-02-22,0.55,0.56,0.55,0.55,158944
2016-02-23,0.56,0.56,0.55,0.55,73058
2016-02-24,0.56,0.56,0.55,0.56,158587
2016-02-25,0.56,0.57,0.49,0.56,243372
2016-02-26,0.55,0.56,0.52,0.56,117084
2016-02-29,0.56,0.56,0.54,0.54,146142
2016-03-01,0.54,0.57,0.54,0.56,90633
2016-03-02,0.57,0.57,0.55,0.56,93648
2016-03-03,0.54,0.58,0.54,0.57,337795
2016-03-04,0.57,0.58,0.56,0.57,389007
2016-03-07,0.57,0.61,0.56,0.60,452926
2016-03-08,0.60,0.62,0.60,0.61,155070
2016-03-09,0.62,0.62,0.60,0.60,169187
2016-03-10,0.60,0.62,0.59,0.61,242400
2016-03-11,0.61,0.62,0.61,0.62,268889
2016-03-14,0.59,0.61,0.59,0.61,99381
2016-03-15,0.61,0.62,0.60,0.61,307896
2016-03-16,0.62,0.62,0.61,0.62,134554
2016-03-17,0.61,0.62,0.60,0.61,298200
2016-03-18,0.61,0.63,0.61,0.63,419217
2016-03-21,0.63,0.63,0.61,0.62,207069
2016-03-22,0.62,0.64,0.62,0.63,210904
2016-03-23,0.63,0.65,0.63,0.65,412053
2016-03-24,0.66,0.68,0.65,0.66,779722
2016-03-28,0.66,0.68,0.66,0.66,463821
2016-03-29,0.67,0.68,0.66,0.67,1031729
2016-03-30,0.68,0.68,0.66,0.67,663409
2016-03-31,0.68,0.68,0.67,0.68,118344
2016-04-01,0.68,0.68,0.67,0.68,206518
2016-04-04,0.67,0.68,0.67,0.68,292327
2016-04-05,0.67,0.72,0.67,0.70,387046
2016-04-06,0.71,0.71,0.68,0.69,192856
2016-04-07,0.69,0.70,0.68,0.69,261274
2016-04-08,0.69,0.72,0.69,0.71,383350
2016-04-11,0.70,0.73,0.69,0.71,267882
2016-04-12,0.71,0.72,0.70,0.71,251457
2016-04-13,0.70,0.73,0.70,0.71,424780
2016-04-14,0.71,0.73,0.71,0.72,156330
2016-04-15,0.72,0.73,0.70,0.70,167990
2016-04-18,0.70,0.72,0.70,0.72,176423
2016-04-19,0.71,0.73,0.71,0.73,352509
2016-04-20,0.72,0.73,0.72,0.72,167594
2016-04-21,0.72,0.73,0.72,0.72,110180
2016-04-22,0.72,0.73,0.72,0.72,54959
2016-04-25,0.72,0.75,0.72,0.75,4542751
2016-04-26,0.75,0.83,0.75,0.80,1229069
2016-04-27,0.82,0.82,0.78,0.79,404256
2016-04-28,0.80,0.80,0.76,0.79,363996
2016-04-29,0.78,0.80,0.76,0.78,159341
2016-05-02,0.78,0.79,0.75,0.78,456385
2016-05-03,0.77,0.79,0.76,0.77,246142
2016-05-04,0.76,0.79,0.75,0.76,202104
2016-05-05,0.75,0.77,0.75,0.76,215651
2016-05-06,0.76,0.79,0.74,0.76,207417
2016-05-09,0.77,0.78,0.75,0.78,233526
2016-05-10,0.78,0.78,0.75,0.77,182157
2016-05-11,0.78,0.79,0.73,0.78,479513
2016-05-12,0.78,0.78,0.73,0.75,364788
2016-05-13,0.76,0.78,0.74,0.78,461603
2016-05-16,0.78,0.78,0.75,0.76,193168
2016-05-17,0.75,0.77,0.75,0.77,366691
2016-05-18,0.77,0.78,0.74,0.75,233444
2016-05-19,0.75,0.76,0.75,0.76,239262
2016-05-20,0.76,0.77,0.70,0.75,444145
2016-05-23,0.77,0.77,0.75,0.77,96945
2016-05-24,0.76,0.78,0.75,0.78,121200
2016-05-25,0.78,0.80,0.75,0.79,459502
2016-05-26,0.80,0.80,0.78,0.78,131479
2016-05-27,0.78,0.79,0.77,0.78,116530
2016-05-31,0.78,0.80,0.77,0.79,229562
2016-06-01,0.78,0.80,0.78,0.79,109590
2016-06-02,0.78,0.79,0.78,0.79,359535
2016-06-03,0.79,0.80,0.78,0.80,232134
2016-06-06,0.80,0.83,0.80,0.82,1021678
2016-06-07,0.82,0.87,0.82,0.86,783271
2016-06-08,0.85,0.86,0.81,0.85,245229
2016-06-09,0.83,0.85,0.80,0.82,255466
2016-06-10,0.81,0.84,0.80,0.80,196304
2016-06-13,0.80,0.80,0.79,0.80,308448
2016-06-14,0.80,0.83,0.78,0.80,357483
2016-06-15,0.79,0.80,0.78,0.79,138930
2016-06-16,0.80,0.80,0.78,0.80,107518
2016-06-17,0.77,0.85,0.77,0.81,837481
2016-06-20,0.76,0.80,0.76,0.80,138631
2016-06-21,0.80,0.80,0.78,0.79,83385
2016-06-22,0.79,0.80,0.79,0.80,166419
2016-06-23,0.79,0.80,0.79,0.80,170800
2016-06-24,0.79,0.80,0.78,0.80,250321
2016-06-27,0.80,0.80,0.78,0.80,434977
2016-06-28,0.79,0.81,0.79,0.81,438288
2016-06-29,0.82,0.83,0.81,0.83,200858
2016-06-30,0.82,0.85,0.82,0.82,255825
2016-07-01,0.82,0.84,0.81,0.84,161666
2016-07-05,0.85,0.86,0.82,0.84,142366
2016-07-06,0.84,0.84,0.82,0.83,118315
2016-07-07,0.84,0.84,0.81,0.84,128478
2016-07-08,0.83,0.86,0.82,0.85,616222
2016-07-11,0.83,0.86,0.83,0.86,242383
2016-07-12,0.86,0.86,0.84,0.86,253897
2016-07-13,0.86,0.89,0.86,0.89,776595
2016-07-14,0.89,0.90,0.87,0.87,1375093
2016-07-15,0.86,0.89,0.86,0.89,239343
2016-07-18,0.89,0.89,0.86,0.86,150473
2016-07-19,0.87,0.88,0.83,0.83,458227
2016-07-20,0.85,0.88,0.84,0.87,360583
2016-07-21,0.85,0.88,0.84,0.87,107818
2016-07-22,0.87,0.88,0.85,0.86,141606
2016-07-25,0.87,0.88,0.86,0.86,150277
2016-07-26,0.87,0.88,0.84,0.84,159187
2016-07-27,0.85,0.85,0.81,0.83,340901
2016-07-28,0.83,0.84,0.82,0.83,163456
2016-07-29,0.83,0.84,0.82,0.82,123283
2016-08-01,0.83,0.84,0.81,0.83,147132
2016-08-02,0.84,0.84,0.81,0.81,106585
2016-08-03,0.81,0.81,0.79,0.80,188590
2016-08-04,0.75,0.81,0.75,0.79,172780
2016-08-05,0.79,0.80,0.79,0.79,150494
2016-08-08,0.80,0.83,0.79,0.82,225704
2016-08-09,0.82,0.82,0.81,0.82,232988
2016-08-10,0.81,0.81,0.78,0.78,309135
2016-08-11,0.80,0.80,0.77,0.78,239883
2016-08-12,0.78,0.80,0.77,0.77,106590
2016-08-15,0.77,0.79,0.76,0.77,166987
2016-08-16,0.76,0.77,0.74,0.75,473662
2016-08-17,0.75,0.77,0.75,0.77,114374
2016-08-18,0.80,0.80,0.77,0.77,132144
2016-08-19,0.79,0.79,0.76,0.76,191272
2016-08-22,0.78,0.79,0.77,0.77,165732
