Date,Open,High,Low,Close,Volume
2018-10-02,20.4,20.45,19.77,20.34,1524900
2018-10-03,20.32,20.63,19.81,20.6,2260800
2018-10-04,20.46,20.5,19.97,20.33,1452100
2018-10-05,20.37,21.08,19.265,19.94,1716600
2018-10-08,19.72,20.26,19.3,20,1590000
2018-10-09,19.93,20.83,19.93,20.31,1681600
2018-10-10,20.3,20.64,19.5,19.76,1623200
2018-10-11,19.7,20.87,19.24,20.61,2386600
2018-10-12,21.22,21.605,20.59,21.35,1849600
2018-10-15,21.21,21.26,20.14,20.21,1075400
2018-10-16,20.34,21.42,20.33,21.35,1402500
2018-10-17,21.71,22.495,21.35,22.35,1934800
2018-10-18,22.5,22.77,22.23,22.7,2123200
2018-10-19,23.39,24.05,22.895,23.95,3407900
2018-10-22,23.92,24.15,23.36,23.7,2266400
2018-10-23,23.26,23.3,21.72,22.94,2690500
2018-10-24,22.94,23.22,21.12,21.14,2026300
2018-10-25,21.31,22.71,21.14,22.05,2676900
2018-10-26,21.75,22.57,21.11,22.49,1220900
2018-10-29,22.89,23.5,21.63,21.88,1709500
2018-10-30,21.74,22.43,21.53,22.05,1461000
2018-10-31,22.37,22.9,22.07,22.53,1343000
2018-11-01,22.71,24.2,22.54,24.03,1808200
2018-11-02,24.22,24.9,23.78,24.52,1666400
2018-11-05,24.98,24.99,24,24.51,1591200
2018-11-06,24.47,24.58,23.64,23.72,1865600
2018-11-07,23.81,24.87,23.77,24.24,1605400
2018-11-08,23.75,23.75,21.63,22.02,5315000
2018-11-09,21.9,23.085,21.32,21.465,2299100
2018-11-12,21.48,21.53,20.02,20.47,1925000
2018-11-13,20.73,20.9,18.75,18.82,3099200
2018-11-14,19,19.21,17.26,18.44,4003000
2018-11-15,18.27,18.98,17.76,18.91,1905700
2018-11-16,18.8,19.69,18.3,19.43,2580700
2018-11-19,19.3,19.66,18.32,18.49,1450800
2018-11-20,18.19,19.3,17.82,18.71,1725800
2018-11-21,18.91,18.98,18.18,18.7,1828900
2018-11-23,18.58,18.92,18.35,18.46,699500
2018-11-26,18.62,18.8,17.15,17.9,2851900
2018-11-27,17.57,17.8,16.8,17.46,3137800
2018-11-28,17.55,18.68,17.28,18.66,1582100
2018-11-29,18.53,19.02,18.31,18.95,1419000
2018-11-30,18.86,20.14,18.86,20.09,3388000
2018-12-03,20.6,21.23,20.11,20.59,2286200
2018-12-04,20.6,21.13,18.71,18.82,2225900
