Date,Open,High,Low,Close,Volume
2020-01-27,82.56,84.33,81.881,83.39,254418
2020-01-28,84.08,85.55,83.925,84.48,145915
2020-01-29,84.31,84.89,83.68,84.04,85624
2020-01-30,83.52,84.28,82.375,84.16,114367
2020-01-31,84.5,84.58,81.05,81.28,217877
2020-02-03,81.48,83.8,81.48,82.24,202047
2020-02-04,83.33,84.39,82.94,83.38,132850
2020-02-05,84.36,86.97,83.6,86.91,230175
2020-02-06,86.91,87.89,85.76,87.33,265345
2020-02-07,86.75,94.85,84.1,85.73,392508
2020-02-10,85.24,87.63,84.35,87.47,160864
2020-02-11,88.33,89.83,87.9644,88.94,200746
2020-02-12,89.06,89.5,87.31,88.22,146369
2020-02-13,87.72,90.26,87.495,90.19,192150
2020-02-14,90,90.42,88.9,90.05,353182
2020-02-18,88.53,89.99,85.2,87.79,195540
2020-02-19,87.89,88.81,87.63,88.47,224135
2020-02-20,88.01,88.87,87.51,88.48,146745
2020-02-21,88.24,88.265,86.88,88.13,152199
2020-02-24,85.01,87.89,85.01,87.29,165988
2020-02-25,87.11,87.84,85.08,85.2,272628
2020-02-26,85.68,86.265,84.06,84.94,270815
2020-02-27,83.1,85.9,81.35,81.52,249837
2020-02-28,79.9,82.8,78.28,81.47,361731
2020-03-02,81.86,84.44,81.09,83.2,258780
2020-03-03,83,84.45,78.75,81.15,234398
2020-03-04,82.61,84.53,81.68,84.4,233465
2020-03-05,82.29,85.84,82.215,84.95,234859
2020-03-06,82.42,85.12,80.4,82.96,173558
2020-03-09,78.48,82.24,77.05,80.44,356750
2020-03-10,82.31,82.67,78.44,80.96,347668
2020-03-11,79.27,79.57,75.75,77.41,352167
2020-03-12,73.02,73.4351,64.87,65.5,418519
2020-03-13,68.23,74.83,64.51,74.48,545836
2020-03-16,59.68,68.07,59.68,65.19,304971
2020-03-17,65.97,68.06,62.4,64.58,432340
2020-03-18,61.05,64.93,58.85,62.47,393769
2020-03-19,62.29,63.535,58.4,60.1,493301
2020-03-20,60.5,62.2,54.24,55.41,576457
2020-03-23,55.77,59.37,54.32,58.42,329415
2020-03-24,59.88,64.93,59.88,63.61,345397
2020-03-25,63.55,65.6599,60.5,63.18,294917
2020-03-26,63.17,65.97,58.69,61.57,415232
2020-03-27,59.78,60.44,56.01,56.85,422637
2020-03-30,57.43,64.39,56.86,63.94,506130
2020-03-31,63.73,65.95,62,65.58,326936
2020-04-01,63.02,64.115,60.85,62.19,327231
2020-04-02,61.63,68.61,60.66,67.31,446749
2020-04-03,66.91,68.43,64.23,65.23,787601
2020-04-06,67.33,68.4,65.86,67.23,404083
2020-04-07,68.3,69.32,66.38,67.88,479178
